part_id,part_number,part_description,commodity,category,uom,abc_class,standard_cost,lifecycle_status
PN00300,AL297509,Fastener Kit 300,Fasteners,Structures,M,C,21.87,ACTIVE
PN00301,RE856320,Fabrication Assy 301,Fabrications,Structures,KG,C,26.0,ACTIVE
PN00302,RE459836,Pump Kit 302,Pumps,Hydraulics,M,C,17.78,ACTIVE
PN00303,RE981473,Fastener Kit 303,Fasteners,Structures,EA,A,23.41,ACTIVE
PN00304,RE812730,Sensor Unit 304,Sensors,Electrical,EA,B,79.52,ACTIVE
PN00305,AL373216,Sensor Unit 305,Sensors,Electrical,KG,C,9.92,ACTIVE
PN00306,AH595158,Fastener Kit 306,Fasteners,Structures,M,A,434.46,ACTIVE
PN00307,RE244037,Hose Kit 307,Hoses,Hydraulics,EA,B,22.97,ACTIVE
PN00308,DZ386814,Valve Kit 308,Valves,Hydraulics,EA,C,23.58,ACTIVE
PN00309,DZ522988,Forging Module 309,Forgings,Powertrain,KG,B,10.78,ACTIVE
PN00310,AH757128,Harnesse Kit 310,Harnesses,Electrical,EA,C,34.96,ACTIVE
PN00311,AL275133,Bearing Assy 311,Bearings,Powertrain,EA,B,8.4,ACTIVE
PN00312,DZ820141,Sheet Metal Kit 312,Sheet Metal,Structures,EA,C,35.63,ACTIVE
PN00313,AH493417,Harnesse Unit 313,Harnesses,Electrical,M,C,33.42,ACTIVE
PN00314,AH150578,Casting Assy 314,Castings,Powertrain,KG,B,73.85,ACTIVE
PN00315,AH415743,Sensor Module 315,Sensors,Electrical,EA,C,31.44,ACTIVE
PN00316,AH636435,Fabrication Assy 316,Fabrications,Structures,EA,A,59.89,ACTIVE
PN00317,RE475308,Harnesse Module 317,Harnesses,Electrical,EA,A,76.87,ACTIVE
PN00318,RE102871,Harnesse Assy 318,Harnesses,Electrical,EA,C,61.66,ACTIVE
PN00319,AH858711,Fastener Assy 319,Fasteners,Structures,EA,C,27.11,ACTIVE
PN00320,RE141360,Sensor Unit 320,Sensors,Electrical,EA,C,21.63,ACTIVE
PN00321,AL474894,Sheet Metal Module 321,Sheet Metal,Structures,M,B,5.71,ACTIVE
PN00322,DZ519692,Controller Module 322,Controllers,Electrical,EA,C,64.15,ACTIVE
PN00323,RE218548,Valve Kit 323,Valves,Hydraulics,EA,C,143.33,ACTIVE
PN00324,DZ290065,Forging Module 324,Forgings,Powertrain,EA,C,23.29,ACTIVE
PN00325,AL786789,Sheet Metal Unit 325,Sheet Metal,Structures,EA,C,28.23,ACTIVE
PN00326,AL644315,Sheet Metal Assy 326,Sheet Metal,Structures,KG,C,44.8,ACTIVE
PN00327,RE979789,Controller Assy 327,Controllers,Electrical,EA,C,72.47,ACTIVE
PN00328,RE446968,Valve Unit 328,Valves,Hydraulics,EA,C,7.89,ACTIVE
PN00329,DZ565765,Pump Module 329,Pumps,Hydraulics,EA,C,26.66,ACTIVE
PN00330,AH684194,Forging Assy 330,Forgings,Powertrain,EA,C,8.28,NEW
PN00331,RE786393,Fastener Module 331,Fasteners,Structures,EA,B,16.75,ACTIVE
PN00332,DZ851470,Harnesse Unit 332,Harnesses,Electrical,KG,A,80.18,ACTIVE
PN00333,AL674295,Harnesse Unit 333,Harnesses,Electrical,EA,A,8.81,ACTIVE
PN00334,DZ212157,Bearing Unit 334,Bearings,Powertrain,M,A,282.66,ACTIVE
PN00335,DZ148759,Pump Assy 335,Pumps,Hydraulics,KG,B,14.85,ACTIVE
PN00336,AH680099,Hose Module 336,Hoses,Hydraulics,M,B,9.48,ACTIVE
PN00337,RE208584,Bearing Module 337,Bearings,Powertrain,M,C,49.31,ACTIVE
PN00338,RE386886,Pump Module 338,Pumps,Hydraulics,EA,C,23.18,ACTIVE
PN00339,AL984027,Bearing Unit 339,Bearings,Powertrain,M,C,6.95,ACTIVE
PN00340,RE844904,Fabrication Kit 340,Fabrications,Structures,M,C,107.08,ACTIVE
PN00341,DZ711116,Sheet Metal Module 341,Sheet Metal,Structures,M,B,11.96,ACTIVE
PN00342,RE155642,Casting Assy 342,Castings,Powertrain,EA,B,34.47,ACTIVE
PN00343,AH824141,Sensor Unit 343,Sensors,Electrical,EA,C,47.87,ACTIVE
PN00344,RE635740,Valve Unit 344,Valves,Hydraulics,EA,C,85.45,ACTIVE
PN00345,AH879794,Fastener Unit 345,Fasteners,Structures,EA,C,16.16,ACTIVE
PN00346,RE913848,Valve Kit 346,Valves,Hydraulics,EA,B,89.68,NEW
PN00347,AH495521,Forging Assy 347,Forgings,Powertrain,KG,B,17.29,ACTIVE
PN00348,AL588983,Bearing Kit 348,Bearings,Powertrain,EA,A,40.18,ACTIVE
PN00349,AL614379,Casting Unit 349,Castings,Powertrain,EA,C,115.95,ACTIVE
PN00350,RE536135,Harnesse Module 350,Harnesses,Electrical,EA,B,169.92,ACTIVE
PN00351,RE889216,Fastener Module 351,Fasteners,Structures,M,C,21.09,NEW
PN00352,RE773462,Casting Kit 352,Castings,Powertrain,EA,C,12.05,ACTIVE
PN00353,AL125905,Forging Unit 353,Forgings,Powertrain,M,C,21.63,ACTIVE
PN00354,AL638857,Casting Assy 354,Castings,Powertrain,EA,A,12.16,NEW
PN00355,RE802897,Hose Kit 355,Hoses,Hydraulics,KG,C,38.58,ACTIVE
PN00356,AH883171,Sheet Metal Kit 356,Sheet Metal,Structures,EA,B,18.06,ACTIVE
PN00357,RE371212,Forging Module 357,Forgings,Powertrain,KG,B,20.95,ACTIVE
PN00358,AH892682,Controller Assy 358,Controllers,Electrical,EA,B,39.12,ACTIVE
PN00359,AH395192,Sensor Module 359,Sensors,Electrical,KG,B,66.98,ACTIVE
PN00360,DZ935474,Valve Unit 360,Valves,Hydraulics,EA,B,15.55,ACTIVE
PN00361,AH419491,Sheet Metal Kit 361,Sheet Metal,Structures,EA,B,40.69,PHASE_OUT
PN00362,AL303765,Hose Assy 362,Hoses,Hydraulics,EA,C,15.62,ACTIVE
PN00363,AH362865,Casting Assy 363,Castings,Powertrain,EA,C,37.34,ACTIVE
PN00364,RE204904,Controller Unit 364,Controllers,Electrical,M,A,15.71,ACTIVE
PN00365,AL827143,Valve Kit 365,Valves,Hydraulics,M,C,26.56,ACTIVE
PN00366,RE846794,Pump Module 366,Pumps,Hydraulics,EA,C,14.47,ACTIVE
PN00367,DZ476167,Sheet Metal Unit 367,Sheet Metal,Structures,KG,C,19.0,ACTIVE
PN00368,RE664781,Fabrication Kit 368,Fabrications,Structures,EA,C,12.22,ACTIVE
PN00369,DZ906564,Sheet Metal Kit 369,Sheet Metal,Structures,EA,C,33.54,ACTIVE
PN00370,AL511564,Hose Kit 370,Hoses,Hydraulics,M,C,26.77,ACTIVE
PN00371,AL626560,Valve Assy 371,Valves,Hydraulics,EA,C,33.19,ACTIVE
PN00372,RE567896,Fabrication Kit 372,Fabrications,Structures,EA,C,121.66,ACTIVE
PN00373,AL142383,Bearing Kit 373,Bearings,Powertrain,KG,B,72.5,ACTIVE
PN00374,DZ576728,Harnesse Assy 374,Harnesses,Electrical,EA,C,98.99,ACTIVE
PN00375,RE494956,Sheet Metal Module 375,Sheet Metal,Structures,EA,C,7.35,ACTIVE
PN00376,RE641455,Forging Module 376,Forgings,Powertrain,EA,C,34.67,ACTIVE
PN00377,RE180832,Valve Unit 377,Valves,Hydraulics,EA,A,106.71,ACTIVE
PN00378,RE534753,Fabrication Unit 378,Fabrications,Structures,EA,B,50.54,ACTIVE
PN00379,DZ123536,Harnesse Kit 379,Harnesses,Electrical,EA,A,51.5,ACTIVE
PN00380,RE158627,Bearing Kit 380,Bearings,Powertrain,EA,C,41.73,ACTIVE
PN00381,AH854500,Pump Unit 381,Pumps,Hydraulics,EA,B,48.94,ACTIVE
PN00382,DZ730025,Valve Kit 382,Valves,Hydraulics,M,C,70.79,ACTIVE
PN00383,AL575497,Fastener Assy 383,Fasteners,Structures,EA,B,33.86,ACTIVE
PN00384,RE734924,Casting Assy 384,Castings,Powertrain,EA,B,33.55,ACTIVE
PN00385,AH197716,Casting Module 385,Castings,Powertrain,EA,C,132.03,ACTIVE
PN00386,AL145548,Casting Module 386,Castings,Powertrain,EA,C,56.58,ACTIVE
PN00387,AH546157,Pump Kit 387,Pumps,Hydraulics,EA,B,8.91,ACTIVE
PN00388,AH706063,Forging Assy 388,Forgings,Powertrain,M,A,27.3,ACTIVE
PN00389,AH262297,Sheet Metal Module 389,Sheet Metal,Structures,M,B,80.08,ACTIVE
PN00390,DZ891645,Pump Kit 390,Pumps,Hydraulics,KG,C,44.07,ACTIVE
PN00391,AL421549,Bearing Unit 391,Bearings,Powertrain,KG,C,20.08,ACTIVE
PN00392,RE205149,Fastener Kit 392,Fasteners,Structures,M,B,14.18,ACTIVE
PN00393,AH268546,Hose Module 393,Hoses,Hydraulics,EA,C,61.57,ACTIVE
PN00394,AH375871,Valve Kit 394,Valves,Hydraulics,EA,A,120.77,ACTIVE
PN00395,AL846172,Pump Assy 395,Pumps,Hydraulics,EA,C,113.61,ACTIVE
PN00396,RE745073,Harnesse Kit 396,Harnesses,Electrical,EA,B,34.42,ACTIVE
PN00397,DZ470281,Bearing Module 397,Bearings,Powertrain,KG,C,12.44,ACTIVE
PN00398,AL464354,Sheet Metal Unit 398,Sheet Metal,Structures,EA,C,45.18,ACTIVE
PN00399,DZ630829,Pump Assy 399,Pumps,Hydraulics,M,A,39.41,ACTIVE
PN00400,DZ690525,Forging Module 400,Forgings,Powertrain,EA,C,50.41,NEW
